userName,review,at,score,app_name,sentiment_label,sentiment_score
Jaya Daiano,good jobs,2025-08-17 14:12:05,5,BRImo,positive,0.9991042017936707
Careen Mansawan,Terbaik,2025-08-17 14:09:03,5,BRImo,positive,0.9978886246681213
lukman azis,REKENING KELUARGA GW DI BLOKIR BRI,2025-08-17 13:52:13,1,BRImo,neutral,0.9977256655693054
Mohammad Ahen,sangat membantu sekali,2025-08-17 13:46:26,5,BRImo,positive,0.9979975819587708
Herda Wati,mantaaaab,2025-08-17 13:42:00,5,BRImo,positive,0.9879653453826904
Aldi Hma,mudah dan amanah,2025-08-17 13:40:46,5,BRImo,positive,0.9982349872589111
Akun ML,mantab,2025-08-17 13:20:23,4,BRImo,positive,0.9985004663467407
Sakir Rachman,makasih,2025-08-17 13:13:16,5,BRImo,positive,0.9983782768249512
Inna,sangat baik,2025-08-17 13:12:09,4,BRImo,positive,0.9864094853401184
Sigit Riaji,sangat membantu dan fleksibel,2025-08-17 13:05:42,5,BRImo,positive,0.998417854309082
samuel Analalo,sangat membantu,2025-08-17 13:05:22,5,BRImo,positive,0.9959172606468201
Ferdi trio febrianto,sangat puasss!!,2025-08-17 13:01:32,5,BRImo,positive,0.9923933744430542
Miqdam Najib,memudah kan untuk ber transaksi thanks.,2025-08-17 13:00:17,5,BRImo,positive,0.382057785987854
Wahyu Erlangga,Alhamdulillah,2025-08-17 12:58:37,5,BRImo,positive,0.9989901185035706
Maman Triaman,"kenapa app brimo ku g bisa dibuka ya, walau sudah direstar. mohon arahannya agar bisa dibuka kembali",2025-08-17 12:49:55,5,BRImo,neutral,0.8913570046424866
Hari Anto,ok,2025-08-17 12:49:10,5,BRImo,negative,0.998392641544342
Donny Kurniawan,"akun saya kehapus sendiri, setelah saya bikin lagi yang baru, lalu terhapus kembali, saya ulangi dengan lupa password dan ubah password, setelah password baru terbuat, saya coba login, malah tidak bisa, parah ini bug nya, tolong dong dev",2025-08-17 12:49:00,1,BRImo,negative,0.9927651286125183
Rofi Agam,memudahkan segalnya,2025-08-17 12:47:23,5,BRImo,negative,0.8545464277267456
Joe Fedo,ok,2025-08-17 12:40:36,5,BRImo,negative,0.998392641544342
Ozil Ud,bagus dan mantap,2025-08-17 12:19:01,5,BRImo,positive,0.9991239905357361
Riyan Hariyan,pembayaran lebih baik pakek brimo,2025-08-17 12:17:00,5,BRImo,positive,0.9965910911560059
Deta Nism,BRIMO sangat membantu aktivitas pembayaran segala Aplikasi 🙏,2025-08-17 12:13:10,5,BRImo,positive,0.9757696986198425
Dinda Novita,keren,2025-08-17 12:09:21,5,BRImo,positive,0.9992368221282959
Khiraspan Khiraspan,TF lebih cepat n praktis,2025-08-17 12:02:49,5,BRImo,positive,0.9985166192054749
Libo Far,sangat baik dan memudahkan transaksi dikala banyak kesibukan.,2025-08-17 12:00:35,5,BRImo,positive,0.9962115287780762
Iwan Setiawan,bagus sangat membantu,2025-08-17 11:54:45,5,BRImo,positive,0.9817927479743958
Neneng Setiawati,mantep,2025-08-17 11:50:37,5,BRImo,negative,0.9885025024414062
Dedy Hendrawan,mantap,2025-08-17 11:37:16,5,BRImo,positive,0.9991832375526428
Herdin Belaa,aplikasinya sangat membantu,2025-08-17 11:29:43,5,BRImo,positive,0.9988765120506287
Purbo Sugondo010,brimo sangan membantu saya sehari-hari,2025-08-17 11:23:57,5,BRImo,positive,0.9928460717201233
madekota 793,bagus,2025-08-17 11:14:03,4,BRImo,positive,0.9980973601341248
Rikhatun Kh sanah,Setelah Upgrade Kenapa Jadi LOLA!!!,2025-08-17 11:10:48,1,BRImo,negative,0.9956772923469543
Akbar Permana,"sangat tidak aman, karena selalu ada saja pemotongan yang tidak jelas walaupun jumlah potongan nya dalam jumlah sedikit. Sangat tidak aman!!!",2025-08-17 11:08:19,1,BRImo,negative,0.9988765120506287
Brahma,bagus dan sangat mudah untuk bertransaksi,2025-08-17 10:58:17,5,BRImo,positive,0.9988844990730286
Irfan F,bagus BNR enak di pake nya dan mudah buat nabung,2025-08-17 10:52:12,5,BRImo,positive,0.9989131689071655
Ju madi,mantap,2025-08-17 10:47:08,5,BRImo,positive,0.9991832375526428
Indah Labene,ok,2025-08-17 10:44:24,5,BRImo,negative,0.998392641544342
Ade Syaripudin,"BRImo saya suka sangatlah membantu dalam transaksi apa saja bisa! terutama yang bersifat on line,👍⭐⭐⭐⭐⭐",2025-08-17 10:44:03,5,BRImo,positive,0.997535228729248
Nanda Henry,good job,2025-08-17 10:30:29,5,BRImo,positive,0.9986006617546082
Egi Febriansyah,sangat mudah dan membantu,2025-08-17 10:27:52,5,BRImo,positive,0.9978431463241577
Shimaru 1980,sangat buruk.. daftar saja di persulit..,2025-08-17 10:25:40,1,BRImo,negative,0.9995403289794922
dadan hamdani,sangat membantu dalam mobilitas transaksi kapanpun 👍👍👍👍👍,2025-08-17 10:23:16,5,BRImo,positive,0.9993476271629333
meni astuti,"saldo tiba tiba hilang, biaya admin semakin tidak masuk akal sistem terkadang eror",2025-08-17 10:21:54,1,BRImo,negative,0.996256947517395
Mamsky Sharky,syang fee nya terlalu banyak,2025-08-17 10:15:37,5,BRImo,negative,0.9966088533401489
Heni Indriyati,terpercaya...,2025-08-17 10:14:24,5,BRImo,positive,0.9983452558517456
Nur Aeni,sangat mudah mengunakan nya,2025-08-17 10:13:06,5,BRImo,positive,0.9988370537757874
samsir bob,aplikasi ini bagus banget,2025-08-17 10:10:38,5,BRImo,positive,0.9980934262275696
Riyadi Fakhri Rasyid,Aplikasinya jadi ngeselin..,2025-08-17 10:04:31,1,BRImo,negative,0.9992479681968689
Kharisman Laia,aplikasi ini sangat membantu sekali,2025-08-17 10:01:20,5,BRImo,positive,0.9963488578796387
Rosi Ahmad,sangat membantu,2025-08-17 10:00:28,5,BRImo,positive,0.9959172606468201
Anang Alrizal,memudahkan segala urusan keuangan,2025-08-17 09:58:28,5,BRImo,positive,0.9985126852989197
Bismillah Allahuakbar,"reset password terima link ubah password ke sms, pas diklik ktny tdk mendukung, hanya mendukung android dan ios, padaha sy pakai android 15, aneh ini",2025-08-17 09:53:48,1,BRImo,negative,0.9768309593200684
"Sandi Sitorus,EBS",Alhamdulillah selalu menjadi yang terbaik,2025-08-17 09:53:10,5,BRImo,positive,0.9957817792892456
Nawawi Wawi,bagus,2025-08-17 09:53:06,5,BRImo,positive,0.9980973601341248
Irmayanti Kb,sangat cepat dan mudah,2025-08-17 09:52:27,5,BRImo,positive,0.9986644983291626
Achmad bukhory Al arifni,ok,2025-08-17 09:51:10,5,BRImo,negative,0.998392641544342
arya aditya,semoga makin aman aja,2025-08-17 09:48:41,5,BRImo,positive,0.9652266502380371
Fajar Eko,mantap BRI sangat inovatif dalam meluncurkan aplikasi,2025-08-17 09:37:23,5,BRImo,positive,0.9984745383262634
Riski Ramdani,terbaik,2025-08-17 09:36:04,5,BRImo,positive,0.9972357153892517
sumarlan alan,aplikasi mudah digunakan,2025-08-17 09:29:56,5,BRImo,positive,0.9982889294624329
Aisyah salon Aisyah,Bagus saya suka sekali,2025-08-17 09:20:45,5,BRImo,positive,0.9951352477073669
Abdul Satar,mantap,2025-08-17 09:17:47,5,BRImo,positive,0.9991832375526428
Cak Ansori,sangat memudah kan,2025-08-17 09:13:17,5,BRImo,positive,0.9986699819564819
Fajar Anas,"brimo sekarang sering force close sendiri, udah hapus cache, penyimpanan dan matikan ulang hp tetep sama aja, gimana sih IT nya 🤦🏻🤦🏻",2025-08-17 09:08:44,1,BRImo,negative,0.9989932179450989
Dewi Susanti,sangat nyaman,2025-08-17 09:08:42,5,BRImo,positive,0.9993577599525452
Scorpio thunder,knp kok kadang di buat kirim ke apk dana eror,2025-08-17 09:05:08,3,BRImo,negative,0.9116490483283997
Herman Tiusman,sangat² membantu 😁,2025-08-17 08:51:19,5,BRImo,positive,0.9971634745597839
Alidun,mantap,2025-08-17 08:47:36,5,BRImo,positive,0.9991832375526428
David Subarja,sangat puas,2025-08-17 08:46:33,5,BRImo,positive,0.9979425072669983
Sunarto H,jelas dan mudah,2025-08-17 08:46:02,4,BRImo,positive,0.932470977306366
Muhamad Khoiri,good,2025-08-17 08:44:24,5,BRImo,positive,0.9990602135658264
Heni Sundari,sat set das des dizaman yang serba was wus ini berpaedah sekali,2025-08-17 08:42:38,5,BRImo,neutral,0.7891724705696106
Sakti Bimo Kuncoro,"kasih bintang 1 dulu deh, soalnya mau login harus disuruh nunggu 5 jam lagi dan pembayarannya harus 1 jam lagi, bodoh 😡",2025-08-17 08:39:06,1,BRImo,negative,0.9991791844367981
Rio Nusa,bagus,2025-08-17 08:34:15,5,BRImo,positive,0.9980973601341248
Josua Sitorus,kenapa aplikasi brimo saya ngelag dan ada perintah brimo tidak bisa menanggapi dan delay nya lama,2025-08-17 08:18:01,1,BRImo,negative,0.9965709447860718
faizal k,sangat berguna dan mudah di gunakan,2025-08-17 08:11:27,5,BRImo,positive,0.9715991020202637
Bayu Sapta,"sempet eror, trus bikin hp hang, buat tf or qr gk bisa, hapus data buat masuk akun lama, malah gk bisa, gk jlas banget mbanking satu ni",2025-08-17 08:04:14,1,BRImo,negative,0.9961820244789124
Gauri Putu,bagus ...,2025-08-17 08:01:37,5,BRImo,positive,0.9983623623847961
Nur Inayah Kahar,good,2025-08-17 07:51:17,5,BRImo,positive,0.9990602135658264
Hitam Putih,"gampang, simpel, ga ribet",2025-08-17 07:51:02,5,BRImo,positive,0.9591437578201294
Richarempoteber,luar biasa aplikasi brimo👍👍,2025-08-17 07:39:24,5,BRImo,positive,0.9991692304611206
Ferdinand Wale,mantap,2025-08-17 07:38:34,5,BRImo,positive,0.9991832375526428
Ferdy Tombiling,"Mantap,, transfernya lancar",2025-08-17 07:24:42,5,BRImo,positive,0.9992256164550781
Rahmat Davinci,cepat dan mudah,2025-08-17 07:24:21,5,BRImo,positive,0.9971083998680115
Barelinra Agus,ok,2025-08-17 07:23:49,5,BRImo,negative,0.998392641544342
nto channel,"saya kasih *3 dulu, karena gak bisa isi pulsa dengan no hp 13 digit, kalo udah bisa saya tambahin lagi * nya jadi 5",2025-08-17 07:16:14,3,BRImo,neutral,0.9806633591651917
Malik Rafda,sudah saya dah saya tf 250000 ko blm cair y bos,2025-08-17 07:14:09,5,BRImo,neutral,0.9932084679603577
Oppo 12F,keren,2025-08-17 07:10:41,5,BRImo,positive,0.9992368221282959
Alfa Mahendra,saldo kok berkurang terus ya sering banget ..memotong 2000 ..3000 .. woy ....,2025-08-17 07:06:06,2,BRImo,negative,0.999225378036499
Mieke Lestari,"aplikasi ga jelas, duit kepotong tapi dana ga masuk",2025-08-17 06:53:45,1,BRImo,negative,0.9988376498222351
rara ibra,Sangat Membantu,2025-08-17 06:53:33,5,BRImo,positive,0.9977299571037292
Munand Nanda,semakin mudah,2025-08-17 06:51:05,5,BRImo,positive,0.9987872242927551
Pakde Sutris,cakep banget,2025-08-17 06:45:19,5,BRImo,positive,0.9222486019134521
BLACK GAMING,mantap,2025-08-17 06:39:23,5,BRImo,positive,0.9991832375526428
andika fajar,ini kenapa brimo keluar terus si...mau login malah keluar jadi ke ganggu transaksinya..harusnya bisa bayar pake Qris gara2 keluar terus jadi ga bisa di pake..sudah laporan malah suruh kirim tangkap layar gimana mau tangkap layar baru di sentuh aja langsung keluar hilang,2025-08-17 06:15:51,1,BRImo,negative,0.9989057779312134
denni brown,"cek mutasi selalu telat,memberi notivikasi pasti tengah malam menjelang pagi,kadang membuat orang penasaran jg jaget",2025-08-17 06:15:08,3,BRImo,negative,0.9302524328231812
May Queen,sangat bagus,2025-08-17 06:14:09,5,BRImo,positive,0.9943695664405823
GALUH MURAI,laporan transaksi tdk langsung muncul contoh beli token listrik lupa blm disimpan dan terlanjur keluar mau lihat lgi nomor token blm muncul...capek deh,2025-08-17 06:12:57,1,BRImo,negative,0.8163543939590454
Wawy Way,bagus,2025-08-17 06:10:13,5,BRImo,positive,0.9980973601341248
Fariz Kurniawan,gak suport sama ceria,2025-08-17 05:58:10,5,BRImo,negative,0.997688889503479
Iis Yulia,Membantu keren,2025-08-17 05:47:04,5,BRImo,positive,0.9968950748443604
Irfan Budianto,good,2025-08-17 05:46:00,5,BRImo,positive,0.9990602135658264
Umar Syarif,sangat membantu aktifitas saya sehari hari,2025-08-17 05:42:18,5,BRImo,positive,0.9925163388252258
agung merdiawan,"Semenjak update, Force Close terus",2025-08-17 05:35:53,3,BRImo,negative,0.7419627904891968
Zahra Siregar Zahra,"kenapa ya aplikasi brimo saya semakin di upload,kok sya tidak bisa melihat transaksi biaya kemasukan dan transaksi biaya pengeluaran,jadi ribet kalau begini terus 😭",2025-08-17 05:33:41,5,BRImo,negative,0.997309684753418
mamajua mamajua,mantap,2025-08-17 05:33:20,5,BRImo,positive,0.9991832375526428
Indra Junaedi Setiawan,sngt membantu tingkatkan terus layanan nya biar JD bank terbaik di indonesia,2025-08-17 05:24:48,5,BRImo,positive,0.9958868622779846
Andi ODE,"Terimakasih banyak Applikasi Brimo telah memberi kemudahan bagi kami dalam setiap transaksi.Alhamdulilah Rabbal Al-Amin Ya Allah.Allahu Akbar,Salam Hormat!!!!",2025-08-17 05:19:03,5,BRImo,positive,0.9951643943786621
sokhinihaogo ndruru,👍👍👍👍,2025-08-17 05:19:03,5,BRImo,positive,0.9990515112876892
Agung Supriadi,bagus,2025-08-17 05:17:20,5,BRImo,positive,0.9980973601341248
Hanafi Lubis,good,2025-08-17 05:15:34,5,BRImo,positive,0.9990602135658264
Su Cipto,oke,2025-08-17 05:15:23,5,BRImo,positive,0.7234290838241577
Nurul Khafidin,"baru pertama pake awalnya bingung tpi setelah paham dn mengerti ini bener"" membantu lbih mudah dlm mngatur keuangan disetiap transaksi pun ada notif dan bisa cek pengluaran dan pemasukan smua tertera ditail riciannya",2025-08-17 05:12:13,5,BRImo,positive,0.9976123571395874
Rosid,ok,2025-08-17 05:11:37,5,BRImo,negative,0.998392641544342
Bima Saputra,mantap,2025-08-17 05:08:50,5,BRImo,positive,0.9991832375526428
Rocky Junior,apliaksi terbaik,2025-08-17 05:06:39,5,BRImo,positive,0.998694121837616
Awan Wengi,mantap,2025-08-17 05:02:32,5,BRImo,positive,0.9991832375526428
Halimah Rehan,"sudah bagus,jgn pernah berubah tentang masalah apapun",2025-08-17 04:52:20,5,BRImo,positive,0.9941527247428894
Muhamad Adnan,mantabz,2025-08-17 04:52:17,5,BRImo,positive,0.9985608458518982
Iwan Bks,sangat bgus,2025-08-17 04:51:27,4,BRImo,positive,0.998677670955658
SAEHU ROHMAN,ringkas dan cepat,2025-08-17 04:47:21,5,BRImo,positive,0.9938055276870728
Putrah Sahputrah,mantap,2025-08-17 04:40:38,5,BRImo,positive,0.9991832375526428
Dimas Sohib,💯 The Best Bank 👍,2025-08-17 04:36:03,5,BRImo,positive,0.9990044236183167
Sapii Pii,kenapa brimo saya tdak bisa di buka padahal pasword udah bener,2025-08-17 04:34:14,4,BRImo,negative,0.5937362313270569
ALIYA TURRAHMA,uang ku di ambil terus sama brimo,2025-08-17 04:32:01,2,BRImo,neutral,0.9526969194412231
Zaenal Arifin,sangat membantu,2025-08-17 04:28:22,5,BRImo,positive,0.9959172606468201
Yuda Harun,kak bisa si bantu aku lupa email nya,2025-08-17 04:28:10,5,BRImo,neutral,0.9981827735900879
Akun Coc,"permisi yah admin izin menyampaikan beberapa hal tentang aplikasi ini sangat membantu saya dalam transaksi, tapi ni ada TAPI LO KALAU BIKIN APLIKASI NGOTAK DIKIT LAH KOCAK MASA NOTIFIKASI DOANK LO KASIH PAJAK JUGA MARUK AMAT BIKIN APLIKASI NIAT KAGA LO PAJAK SEKARANG AJA DINAIKIN KE 9K GA PUAS LO MAKAN PAJAK DI NOTIF DOANK INI KALAU BERGUNA MAH GAPAPA, KAGA GUNA SUMPAH TU NOTIF YANG LO KIRIM MAKE POTONG SALDO ORANG KALAU 2 AMPE 3 MAH GPP INI GW PERNAH DIKIRIM NOTIF AMPE 10 LEBIH DALAM SEBULAN!!!",2025-08-17 04:22:30,1,BRImo,negative,0.9981881976127625
Eko Prastyo,"Sya ksh bintang 5 dan Terimakasih BRI atas pelayanan nya, sesuai harapan, terutama BRI unit Buli Halmahera Timur",2025-08-17 04:14:10,5,BRImo,positive,0.8649555444717407
Musram,aplikasi sangat penting dan berguna dan bagus sekali di gunakan,2025-08-17 04:11:54,5,BRImo,positive,0.990551233291626
Pambudi Dwi Kresno,sangat mudah,2025-08-17 04:10:37,5,BRImo,positive,0.9982979893684387
Ody Gi,sangat bagus,2025-08-17 03:42:12,5,BRImo,positive,0.9943695664405823
ghoza lia,good lah,2025-08-17 03:41:21,5,BRImo,positive,0.9949972629547119
Rafiudin Akhyar,brimo erorr logout,2025-08-17 03:37:46,1,BRImo,negative,0.9924627542495728
Muhammad Zaenudin,memudahkan ...mohon dipermudah untuk tarik tunainya😁🙏,2025-08-17 03:36:15,5,BRImo,positive,0.9920090436935425
Hartinimugi Rahayu,"mempermudah transaksi jual beli, dan pembayaran online, terjangkau sampai kepelosok desa dan kampung2,",2025-08-17 03:32:47,5,BRImo,positive,0.8083980679512024
Fathir Adibaminullah,josss,2025-08-17 03:24:49,5,BRImo,positive,0.9966868758201599
Nelson Selpa Harsono,"setiap mau transaksi muncul tulisan ""we detected something blocking ... "" sudah clear cache clear data, restart hp, uninstall aplikasi, download lg tp tetap tidak bisa. gimana ini solusinya? mohon diupdate lg aplikasinya. sudah sebulan ini tidak bisa transaksi lewat brimo, harus jauh-jauh ke atm.",2025-08-17 03:19:40,1,BRImo,negative,0.9128961563110352
Arka Rafassyah,jaya jaya,2025-08-17 03:17:18,4,BRImo,positive,0.9151458144187927
Shopee,sangat cocok,2025-08-17 03:07:42,5,BRImo,positive,0.9960975646972656
Senvai Karaste,tarif nya gk ngotak masa 7.500 per notifikasi saldo semakin lama di biarin malah semakin abis sama notifikasi yang nggk jelas,2025-08-17 03:05:50,1,BRImo,negative,0.9987428784370422
Lis winda,"saya kmaren transfer dari rekening saldo sudah berkurang,tapi gak masuk ke rekening yang sy transfer, tolong kerja sama nya BRI",2025-08-17 03:03:48,1,BRImo,neutral,0.9403570890426636
Nur Ashyifah,sungguh luar biasa mantap memang brimo 👍👍👍,2025-08-17 03:02:21,5,BRImo,positive,0.9991403818130493
Abrizam Azzahra,amanah selalu,2025-08-17 02:59:19,4,BRImo,positive,0.9968780279159546
Intan Febriana,ini napa ya g bisa tf dri semalam? tolong bgt ini mah,2025-08-17 02:45:41,3,BRImo,negative,0.8764947056770325
putri tunggal,sangat membantu,2025-08-17 02:41:37,5,BRImo,positive,0.9959172606468201
Yokee Anarchy,hebat,2025-08-17 02:37:09,5,BRImo,positive,0.9962474703788757
Sudjarwo Tedjo,sangat membantu dan mudah digunakan,2025-08-17 02:36:14,5,BRImo,positive,0.9965099692344666
Sofyan,"kok sekarang gk bisa screenshot saldo ya, enak aplikasi sebelumnya",2025-08-17 02:32:40,5,BRImo,negative,0.8658745288848877
Yuyun Anggraeni,ada potongan tidak jelas tiap bulan 750 rupiah. aplikasi gampang kena hack,2025-08-17 02:31:37,1,BRImo,negative,0.9976758360862732
Cici CP59,mantap,2025-08-17 02:24:35,5,BRImo,positive,0.9991832375526428
Ilham Dian,mantep belah😔,2025-08-17 02:16:36,5,BRImo,negative,0.9993207454681396
Nardi 2019,"Saya Ralat dari bintang satu je bintang tiga dulu.. karena Brimo sy sudah aktif & Hanya terpotong satu notif 700 rp, & yg bikin tidak nyaman kenapa setelah aktifkan Brimo bnyk Yg tlpn 2 Spam yg tdk jelas penawaran2 dll...",2025-08-17 02:11:07,3,BRImo,negative,0.998991072177887
Erik Ardani,bagus dan gampang banget di gunakan,2025-08-17 02:02:13,5,BRImo,positive,0.9829316735267639
Wachyou 09,👌,2025-08-17 02:01:25,5,BRImo,positive,0.999030351638794
Ainu Risna,semua jadi mudah,2025-08-17 01:53:13,5,BRImo,positive,0.9907475709915161
Nugraha Aprila,Sejauh ini ga ada masalah,2025-08-17 01:49:31,5,BRImo,positive,0.9930186867713928
M Arifin,Sangat membantu dan memudahkan untuk ber transaksi kenapa hari ini minggu 17 -08-2025.brimo saya g bisa di buka,2025-08-17 01:42:58,5,BRImo,neutral,0.5685837864875793
Sayid Muhammad Riyan Antasari,bermanfaat. muah love,2025-08-17 01:37:56,5,BRImo,positive,0.9962235689163208
Adnan Dirgantara,memudahkn transaksi,2025-08-17 01:37:36,5,BRImo,positive,0.9976131916046143
ipung cendol,"kenapa sering banget eror sekarang BRImo, susah masuk makin kesini makin sering eror",2025-08-17 01:37:01,3,BRImo,negative,0.9988258481025696
Ti Banbor,knp sekarang notif sms mahal sekali mahal bgt 1x notif 750 rupiah dalam seminggu saya terkena notif sms smpe 40 rbu kadang lebih mahal sekali,2025-08-17 01:31:50,4,BRImo,negative,0.9981970191001892
Lia Ciah,sangat membantu dan memudahkan,2025-08-17 01:31:37,5,BRImo,positive,0.99641352891922
Wayan Karmayasa,bagus,2025-08-17 01:25:06,5,BRImo,positive,0.9980973601341248
Yoel sapto,sangat membantu,2025-08-17 01:18:09,5,BRImo,positive,0.9959172606468201
Muhammad Aqil Hafiz,force close di hp iqoo z7x,2025-08-17 01:14:01,1,BRImo,neutral,0.998824417591095
made daeng,👍👍,2025-08-17 01:11:48,5,BRImo,positive,0.9991061091423035
jazzalia almeera,cepat n praktis... 👍🏻🥰,2025-08-17 01:09:25,5,BRImo,positive,0.9992215633392334
Emad Brian,mantap,2025-08-17 01:07:04,5,BRImo,positive,0.9991832375526428
Sofi Husni,sy mengunakan brimo sangat terbantu ngak habis waktu utk antri semua lewat brimo lancar,2025-08-17 01:04:48,5,BRImo,positive,0.9981904625892639
Faisal Amir,ok,2025-08-17 01:02:36,5,BRImo,negative,0.998392641544342
Yantini Mam,ok,2025-08-17 01:01:20,5,BRImo,negative,0.998392641544342
Irfan Ardiansyah,mantap,2025-08-17 00:46:15,5,BRImo,positive,0.9991832375526428
Nur Hasan,mantap mudahan2 tambah lancar,2025-08-17 00:44:04,5,BRImo,positive,0.9988182187080383
Fahri Ikhsan,bagus,2025-08-17 00:27:48,5,BRImo,positive,0.9980973601341248
Silfia Saja,sangat baik mudah difahami,2025-08-17 00:25:12,4,BRImo,positive,0.992608368396759
Papa Muda,sangat memuaskan,2025-08-17 00:24:18,5,BRImo,positive,0.9983042478561401
Safrudin,mantap sehat selalu staf karyawan bri semuanya🙌,2025-08-17 00:23:27,5,BRImo,positive,0.9979756474494934
Muhammad Mahesa,"pertahankan pelayanan terhadap pelanggan dan pengguna aplikasi brimo bila perlu tambah fitur"" Kren di brimo untuk lebih memudahkan , sprti gojek,gofood dll",2025-08-17 00:10:28,5,BRImo,positive,0.8852483630180359
Sendirii Saja Tenang,sangat membantu,2025-08-17 00:10:14,5,BRImo,positive,0.9959172606468201
Jul upo Upo,sangat baik dan bagus,2025-08-16 23:57:09,5,BRImo,positive,0.9922512173652649
Kadek Supartana,"aplikasi sangat mudah digunakan, bisa tf sambil rebahan gk usah antri, sangat membantu untuk transaksi, fiturnya jg lengkap",2025-08-16 23:56:52,5,BRImo,positive,0.9953798055648804
Koko Coolz,baiklah...,2025-08-16 23:49:19,5,BRImo,positive,0.9853905439376831
Mansur Tabang,Sangat bermanfaat sekali,2025-08-16 23:28:54,5,BRImo,positive,0.9937126040458679
Farm Rabirt,mohon BRI perbaiki.. BCA saldo minim aman untuk transaksi. sampe 0%,2025-08-16 23:04:34,1,BRImo,neutral,0.8305290341377258
Achmad Zidane,keren,2025-08-16 23:01:27,4,BRImo,positive,0.9992368221282959
Channel Rival_1147 YT,oke dek,2025-08-16 22:55:28,5,BRImo,neutral,0.6949432492256165
made budiarsana,Aplikasi tiba tiba menghilang padahal sdh update kenapa ya bisa begitu,2025-08-16 22:52:01,3,BRImo,negative,0.9905014038085938
iwan setiawan,Cepat dan simpel,2025-08-16 22:41:12,4,BRImo,positive,0.9979490637779236
Musdalifah,sangat bagus,2025-08-16 21:37:27,5,BRImo,positive,0.9943695664405823
esty 87,👍,2025-08-16 21:35:25,5,BRImo,positive,0.999146580696106
Fajrin Abdillah,Aplikasi keluar sendiri sudah tidak bisa log in lagi padahal sinyal bagus di kira terblokir cek di ATM ternyata tidak,2025-08-16 21:34:39,1,BRImo,neutral,0.876957893371582
Yemiton Wenda,secara pribadi sangat aspirasi aplikasi brimob,2025-08-16 21:06:03,5,BRImo,positive,0.8839730620384216
bedegong kolot,mantap terima kasih selalu membantu saya,2025-08-16 20:53:05,5,BRImo,positive,0.9989719390869141
Susilawati Susilawati,oke,2025-08-16 20:49:48,5,BRImo,positive,0.7234290838241577
Prasetyo Andi,"sangat membantu kalau bisa, cardless ada opsi pecahan 50 nya min 🙏",2025-08-16 20:08:41,5,BRImo,neutral,0.8175990581512451
Latif Azi,sangat membantu,2025-08-16 19:38:42,5,BRImo,positive,0.9959172606468201
Alfret Sagena,membantu sekali dalam segala hal,2025-08-16 19:38:41,5,BRImo,positive,0.9770400524139404
Irfan Efendy,"Balikin lagi dong screenshot di tampilan aplikasi yang ada memperingati hari nasional min, biwr enak di jadiin story wa",2025-08-16 19:11:50,1,BRImo,positive,0.7808991074562073
Ridho Ramadhan,"kenapa saat menerima transfer dari bank lain, potongannya besar banget , nyesel pake brimo",2025-08-16 19:09:59,1,BRImo,negative,0.9993082284927368
Diana Febrianti,kemudahan bertransaksi sangat bermanfaat,2025-08-16 18:58:00,4,BRImo,positive,0.9978060126304626
